timestamp,gateway,active_connections,goroutines,heap_alloc_mb,heap_sys_mb
1774720633,gateway1,500,1508,12.807395935058594,26.53125
1774720636,gateway1,500,1508,15.044960021972656,26.46875
1774720640,gateway1,500,1508,8.350601196289062,26.5
1774720643,gateway1,500,1508,10.620956420898438,26.46875
1774720646,gateway1,500,1508,12.861862182617188,26.53125
1774720649,gateway1,551,1661,15.8349609375,26.21875
1774720652,gateway1,604,1820,10.994949340820312,25.71875
1774720655,gateway1,657,1979,14.040824890136719,25.125
1774720659,gateway1,710,2138,17.67303466796875,28.53125
1774720662,gateway1,762,2294,13.730522155761719,27.8125
1774720665,gateway1,815,2453,17.58050537109375,27.03125
1774720668,gateway1,868,2612,21.841392517089844,30.15625
1774720671,gateway1,920,2768,16.110198974609375,33.34375
1774720674,gateway1,973,2927,20.612838745117188,32.5
1774720678,gateway1,1000,3008,25.219772338867188,35.84375
1774720681,gateway1,1000,3008,16.42572784423828,35.4375
1774720684,gateway1,1000,3008,20.922828674316406,35.0625
1774720687,gateway1,998,3004,25.607177734375,34.78125
1774720690,gateway1,1000,3008,30.082008361816406,38.6875
1774720693,gateway1,1000,3008,17.735916137695312,42.71875
1774720697,gateway1,1000,3008,22.226211547851562,42.625
1774720700,gateway1,999,3005,26.682174682617188,42.71875
1774720703,gateway1,1000,3008,31.209060668945312,42.71875
1774720706,gateway1,1000,3008,18.448593139648438,42.71875
1774720709,gateway1,1000,3008,22.96636199951172,42.6875
1774720712,gateway1,1000,3008,27.446182250976562,42.71875
1774720715,gateway1,1000,3008,31.950347900390625,42.5625
1774720719,gateway1,1000,3008,19.11591339111328,42.5625
1774720722,gateway1,1000,3008,23.596717834472656,42.53125
1774720725,gateway1,1000,3008,28.093772888183594,42.5
1774720728,gateway1,1000,3008,15.414817810058594,42.46875
1774720731,gateway1,1000,3008,19.903289794921875,42.4375
1774720734,gateway1,1000,3008,24.384231567382812,42.4375
1774720738,gateway1,1049,3155,29.487533569335938,42.125
1774720741,gateway1,1154,3470,19.36750030517578,41.125
1774720744,gateway1,1259,3785,25.395095825195312,39.90625
1774720747,gateway1,1364,4100,31.91425323486328,42.8125
1774720750,gateway1,1469,4415,24.90679168701172,45.15625
1774720753,gateway1,1574,4730,32.544090270996094,43.5625
1774720756,gateway1,1679,5045,40.27368927001953,49.875
1774720760,gateway1,1784,5360,30.101028442382812,52.28125
1774720763,gateway1,1889,5675,39.14202117919922,50.6875
1774720766,gateway1,1993,5988,48.19917297363281,57.09375
1774720769,gateway1,2000,6008,32.44579315185547,64.125
1774720772,gateway1,2000,6008,41.436859130859375,63.28125
1774720775,gateway1,2000,6008,50.381797790527344,62.6875
1774720778,gateway1,2000,6008,59.33087921142578,70.53125
1774720782,gateway1,1999,6005,34.99885559082031,74.5625
1774720785,gateway1,2000,6008,43.917510986328125,74.59375
1774720788,gateway1,2000,6008,52.89624786376953,74.8125
1774720791,gateway1,2000,6008,61.83153533935547,74.84375
1774720794,gateway1,2000,6008,37.085723876953125,74.84375
1774720797,gateway1,2000,6008,46.051177978515625,74.84375
1774720800,gateway1,2000,6008,55.01969909667969,74.84375
1774720804,gateway1,1999,6005,30.412612915039062,74.84375
1774720807,gateway1,2000,6008,39.41011047363281,74.84375
1774720810,gateway1,2000,6008,48.336158752441406,74.8125
1774720813,gateway1,2000,6008,57.31743621826172,74.8125
1774720816,gateway1,2000,6008,32.684669494628906,74.8125
1774720819,gateway1,2000,6008,41.58061981201172,74.8125
1774720823,gateway1,2000,6008,50.543006896972656,74.84375
1774720826,gateway1,2000,6008,59.47283935546875,74.84375
1774720829,gateway1,2000,6008,35.15266418457031,74.84375
1774720832,gateway1,1912,5744,42.957183837890625,74.8125
1774720835,gateway1,1728,5192,49.45576477050781,74.46875
1774720838,gateway1,1518,4562,55.6580810546875,74.15625
1774720841,gateway1,1308,3932,60.82319641113281,74.03125
1774720845,gateway1,1110,3338,21.337692260742188,74.71875
1774720848,gateway1,900,2708,24.558486938476562,75.53125
1774720851,gateway1,679,2045,26.85870361328125,76.9375
1774720854,gateway1,468,1412,28.10626983642578,79.53125
1774720857,gateway1,269,815,28.446937561035156,83
1774720860,gateway1,104,320,28.603790283203125,86.3125
1774720863,gateway1,16,56,28.6824951171875,88.6875
